2107704;4177
2107803;4988
2108504;3866
2109007;2049
2109205;2158
2109270;3902
2109551;1067
2109601;18668
2109700;795
2109759;1193
2110005;10025
2110708;5477
2111003;5398
2111300;158117
2111573;657
2111672;1259
2111706;4940
2111722;1726
2111748;2186
2111763;2556
2112100;4998
2112209;35640
2112902;5433
2114007;19982
2200459;867
2200608;1484
2200707;1643
2201002;859
2201309;640
2201408;1175
2201903;17559
2201919;974
2201960;1435
2202000;3504
2202208;24170
2202505;1981
2202604;2919
2202653;841
2202711;997
2202737;740
1100015;1668
1100049;3527
1100056;1211
1100080;1675
1100098;1498
1100106;3161
1100114;4868
1100130;2198
1100155;2867
1100288;5155
1100320;3981
1100452;2946
1100601;257
1101203;477
1101450;331
1101476;189
1101484;133
1101757;604
1200013;1632
1200252;1552
1200302;5557
1200336;3047
1200393;1434
1200435;870
1200450;5998
1300086;1776
1300102;2836
1300607;4897
1301407;5203
1301506;2800
1301704;8226
1301951;1563
1302504;29306
1302900;11845
1303106;4065
1303205;2083
1303809;5240
1303957;1573
1304005;1742
1304062;16977
1400050;2236
1400233;1301
1400282;1374
1400506;856
1400605;926
1400704;1122
1500347;2649
1500404;9397
1500503;4905
1500859;4484
1501709;33290
1501725;2149
1501758;1199
1502202;29069
1502806;4863
1502954;3653
1503044;2382
1503093;3235
1503309;18323
1503804;7440
1504455;4054
1504976;1391
1505437;11647
1505502;12762
1505551;980
1505809;7552
1505908;5355
1506104;1775
1506302;4576
1506351;2074
1506583;2406
1506609;3623
1507151;3082
1507201;4886
1507409;2260
1507508;2323
1507755;456
1508001;10766
1508035;4714
1508159;7757
1508209;7613
1508407;7458
1600238;807
1600535;2238
1700350;640
1701051;309
1701101;391
1701309;607
1701903;473
1702000;398
1702208;9062
1702901;1898
1703883;211
1704600;188
1705102;379
1705508;7877
1705557;584
1706001;661
1706506;524
1707108;642
1707652;527
1709302;5254
1709500;12589
1710508;1042
1710904;628
1711803;250
1711902;1729
1711951;501
1712009;204
1712157;165
1712405;410
1712702;187
1715101;474
1717503;393
1717909;736
1718204;9704
1718840;302
1718865;417
1718907;552
1719004;194
1720804;1326
1721208;6340
1722107;1401
2100204;5471
2100956;4657
2101004;5169
2101350;1091
2102374;1887
2102507;4099
2102804;3381
2102903;4382
2103000;42194
2103505;6732
2103802;3856
2104073;1249
2104107;2153
2104503;1761
2104552;2313
2104651;1959
2104677;4474
2105153;2644
2105302;44972
2105351;2514
2105906;2942
2106631;1955
2106706;3497
2106805;2770
2107001;1725
2107456;3251
2107506;19662
2107605;4523
2108108;3719
2108405;2589
2108454;4920
2109403;2673
2109452;4449
2109908;50118
2110401;3657
2110658;1508
